Boston Celtics,Kemba Walker,PG,8,6'0,90,Jayson Tatum,PF,0,6'7,91,Jaylen Brown,SG,7,6'5,87,Marcus Smart,SG,36,6'2,82,Daniel Theis,C,27,6'10,77
Brooklyn Nets,Tyler Johnson,PG,16,6'2,73,Garret Temple,SG,17,6'5,73,Caris LeVert,SG,22,6'5,82,Timothe Luwawu-Cabarrot,SF,9,6'7,70,Jarret Allen,C,31,6'11,80
Dallas Mavericks,Luka Doncic,PG,77,6'7,93,Trey Burke,PG,23,6'0,76,Tim Hardaway Jr,SG,11,6'5,77,Dorian Finney-Smith,SF,10,6'7,78,Maxi Kleber,PF,42,6'10,82
Houston Rockets,Russell Westbrook,PG,0,6'3,89,Jame Harden,SG,13,6'5,96,Danuel House,SF,4,6'5,76,Robert Covington,PF,33,6'7,78,PJ Tucker,C,17,6'5,79
Indiana Pacers,TJ Warren,SF,1,6'7,84,Myles Turner,C,33,6'11,82,Malcolm Brogdon,PG,7,6'5,81,Victor Oladipo,SG,4,6'2,84,Justin Holiday,SF,8,6'5,78
LA Clippers,Patrick Beverley,PG,21,6'2,77,Paul George,SG,13,6'7,87,Kawhi Leonard,SF,2,6'7,95,Marcus Morris,PF,31,6'7,81,Ivica Zubac,C,40,6'11,40
LA Lakers,Alex Caruso,PG,4,6'3,74,Anthony Davis,PF,3,6'10,97,Danny Green,SF,14,6'5,79,Caldwell Pope,SG,1,6'5,73,Lebron James,PG,23,6'8,97
Memphis Grizzlies,Ja Morant,PG,12,6'2,81,Dillon Brooks,SG,24,6'5,77,Kyle Anderson,SF,1,6'7,76,Anthony Toliver,PF,44,6'7,73,Jonas Valanciunas,C,17,6'11,86
Miami Heat,Jimmy Butler,SG,22,6'5,91,Tyler Herro,SG,14,6'5,77,Duncan Robinson,SF,55,6'6,78,Jae Crowder,SF,99,6'7,74,Bam Adebayo,PF,13,6'10,85
Milwaukee Bucks,Eric Bledsoe,PG,6,6'3,81,Wesley Matthews,SG,9,6'5,78,Khris Middleton,SF,22,6'6,86,Brook Lopez,C,11,6'10,78,Giannis Antetokounmpo,PF,34,6'10,95
New Orleans Pelicans,Lonzo Ball,PG,2,6'6,80,E'Twaun Moore,SF,55,6'6,76,Josh Hart,SG,3,6'5,76,Nicolo Melli,PF,20,6'8,20,Jaxson Hayes,C,10,6'10,81
Oklahoma City Thunder,Chris Paul,PG,3,6'2,84,Shai Alexander,SG,2,6'5,85,Luguentz Dort,SG,5,6'5,70,Danilo Gallinari,PF,8,6'7,85,Steven Adams,C,12,6'10,83
Orlando Magic,Markelle Fultz,PG,20,6'5,77,Evan Fournier,SG,10,6'4,83,James Enis,SF,11,6'7,74,Gary Clark,PF,12,6'6,66,Nikola Vucevic,C,9,6'10,83
Philadelphia 76ers,Shake Milton,SG,18,6'5,75,Josh Richardson,SG,0,6'6,82,Tobias Harris,SF,12,6'7,87,Al Horford,PF,42,6'10,83,Joel Embiid,C,21,7'0,89
Phoenix Suns,Ricky Rubio,PG,11,6'2,81,Devin Booker,SG,1,6'5,84,Mikal Bridges,SF,25,6'7,78,Cameron Johnson,SG,23,6'6,74,Deandre Ayton,PF,22,6'11,86
Portland Trail Blazers,CJ McCollum,SG,3,6'6,83,Gary Trent Jr,SG,2,6'5,76,Carmelo Anthony,PF,0,6'8,78,Jsuf Nurkic,C,27,6'11,80,Hassan Whiteside,C,21,6'11,89
San Antonio Spurs,Dejounte Murray,PG,5,6'3,79,Derrick White,SG,4,6'4,79,Lonnie Walker,SG,1,6'5,75,DeMar DeRozan,SF,10,6'6,87,Jakob Poetl,C,25,6'11,76
Toronto Raptors,Kyle Lowry,PG,7,6'0,82,Fred VanVleet,PG,23,6'2,80,OG Anunoby,SF,3,6'5,76,Pascal Siakam,PF,43,6'8,86,Marc Gasol,C,33,6'11,76
Utah Jazz,Mike Conley,PG,10,6'3,76,Donovan Mitchell,SG,45,6'5,89,Joe Ingles,SF,2,6'6,77,Royce ONeale,PF,23,6'8,70,Rudy Gobert,C,27,7'0,87
