1,The Shawshank Redemption,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,9.2
2,The Godfather,Francis Ford Coppola,Al Pacino,Marlon Brando,James Caan,Richard S. Castellano,9.1
3,The Godfather: Part II,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,9
4,The Dark Knight,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,9
5,12 Angry Men,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fielder,8.9
6,Schindler's List,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,8.9
7,The Lord of the Rings: The Return of the King,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Cate Blanchett,8.9
8,Pulp Fiction,Quentin Tarantino,John Travolta,Samuel L. Jackson,Tim Roth,Amanda Plummer,8.8
9,The Good the Bad and the Ugly,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Ando Giuffre,8.8
10,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Elijah Wood,Orlando Bloom,Billy Boyd,Sean Astin,8.8
11,Fight Club,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,8.8
12,Forrest Gump,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,8.8
13,Inception,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,8.7
14,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,8.7
15,The Lord of the Rings: The Two Towers ,Peter Jackson,Elijah Wood,Viggo Mortensen,Bruce Allpress,Cate Blanchett,8.7
16,The Matrix,Lana Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,8.6
17,Goodfellas,Martin Scorsese,Robert De Niro,Ray Liotta,Jeo Pesci,Loraine Bracco,8.6
18,One Flew Over the Cuckoo's Nest,Milos Forman,Jack Nicholson,Louise Fletcher,Danny DeVito,Michael Berryman,8.6
19,Seven Samurai,Akira Kurosawa,Toshiro Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,8.6
20,Se7en,David Fincher,Morgan Freeman,Brad Pitt ,Kevin Spacey,Gwyneth Paltrow,8.6
21,Life Is Beautiful,Robert Benigni,Robert Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,8.6
